attack_bucket,row_count,positive_count,negative_count,threshold,precision,recall,f1,accuracy,false_positive_rate,true_positive,true_negative,false_positive,false_negative,roc_auc,pr_auc
benign,100,0,100,0.05,0.0,0.0,0.0,1.0,0.0,0,100,0,0,0.0,0.0
credential_based_fraud,434,434,0,0.05,1.0,1.0,1.0,1.0,0.0,434,0,0,0,0.0,1.0
identity_onboarding_fraud,139,139,0,0.05,1.0,1.0,1.0,1.0,0.0,139,0,0,0,0.0,1.0
merchant_ecosystem_abuse,454,454,0,0.05,1.0,1.0,1.0,1.0,0.0,454,0,0,0,0.0,1.0
post_transaction_abuse,62,62,0,0.05,1.0,1.0,1.0,1.0,0.0,62,0,0,0,0.0,1.0
social_engineering_payment_fraud,46,46,0,0.05,1.0,1.0,1.0,1.0,0.0,46,0,0,0,0.0,1.0
