attack_bucket,row_count,positive_count,negative_count,threshold,precision,recall,f1,accuracy,false_positive_rate,true_positive,true_negative,false_positive,false_negative,roc_auc,pr_auc
benign,500,0,500,0.05,0.0,0.0,0.0,1.0,0.0,0,500,0,0,0.0,0.0
credential_based_fraud,460,460,0,0.05,1.0,1.0,1.0,1.0,0.0,460,0,0,0,0.0,1.0
identity_onboarding_fraud,128,128,0,0.05,1.0,1.0,1.0,1.0,0.0,128,0,0,0,0.0,1.0
merchant_ecosystem_abuse,466,466,0,0.05,1.0,1.0,1.0,1.0,0.0,466,0,0,0,0.0,1.0
post_transaction_abuse,67,67,0,0.05,1.0,1.0,1.0,1.0,0.0,67,0,0,0,0.0,1.0
social_engineering_payment_fraud,45,45,0,0.05,1.0,1.0,1.0,1.0,0.0,45,0,0,0,0.0,1.0
